0,25.1448,0.6126,0.0179,0.0000
1,16.2891,1.6861,-0.0732,0.0000
2,99.4578,4.4489,0.2405,0.0000
3,57.4640,5.4146,0.2081,0.0282
4,83.5642,6.3490,0.0383,0.3948
5,54.9975,6.1624,0.1753,0.5561
6,63.4856,6.4809,0.2203,0.5261
7,74.4739,7.0310,0.0302,0.3936
8,65.2697,6.8888,0.1176,0.4295
9,78.7136,6.9563,0.0258,0.4353
10,64.7170,6.9411,0.1098,0.4225
11,64.3759,6.8253,0.0948,0.4693
12,60.7458,6.8307,0.1074,0.5142
13,57.1420,6.8082,0.2119,0.5650
14,52.5315,6.8428,0.1888,0.4995
15,57.9154,7.0532,0.2211,0.5773
16,49.5413,6.8372,0.2395,0.5776
17,58.3065,7.0197,0.1895,0.6227
18,52.7276,6.7655,0.2895,0.7275
19,50.6508,6.9540,0.2537,0.6677
